to_usgs, from_usgs
06172310, "{06169500,06167500,06164510}"
02456500, "{02455000,02455185,02455980}"
14048000, "{14046500,14046778,14046890}"
14207500, "{14205400,14203500,14206950}"
05344490, "{05341550,05341752,05342000}"
12027500, "{12021800,12025000,12026400}"
12096500, "{12093500,12094000,12095000}"
07072500, "{07069000,07069500,07072000}"
02146600, "{0214655255,02146562,0214657975}"
11179000, "{11176900,11174000,11173575}"
01633000, "{01632000,01632082,01632900}"
11181000, "{11180900,11180825,11180960}"
12149000, "{12145500,12144500,12148500}"
09217000, "{09215000,09213500,09211200}"
09444000, "{}"
05398000, "{05395000,05396000,05397500}"
08093100, "{08091000,08091500,08092000}"
02466030, "{02465292,02465493,02465000}"
01581920, "{01581810,01581830,01581870}"
09070500, "{09058000,09059500,09070000}"
07076750, "{07074850,07076517,07076530}"
03362500, "{03361650,03361850,03362000}"
01177000, "{01175500,01176000,01173500}"
14166000, "{14152000,14157500,14165500}"
01442500, "{01440485,01440400,01441495}"
06052500, "{06048650,06050000,06043500}"
13213100, "{13183000,13213000}"
08173900, "{08169792,08172000,08173000}"
02075045, "{02071000,02074000,02074500}"
12144500, "{12144000,12141300,12142000}"
06785000, "{06784000,06775900,06775500}"
09355500, "{09349800,09354500,09346400}"
08073100, "{08072760,08072730,08072680}"
07331000, "{07328500,07329780,07329852}"
05340500, "{05333500,05336700,05338500}"
06893000, "{06818000,06892518,06821190}"
05551000, "{05550001,05550300,05550500}"
01183500, "{01181000,01179500}"
08319000, "{08317400,08317200,08317950}"
06036650, "{06027600,06035000,06033000}"
03365500, "{03364650,03364200,03364000}"
03044000, "{03042500,03041500,03042000}"
01673000, "{01671025,01671100,01672500}"
02197000, "{02196485,02196690}"
01471510, "{01470500,01470755,01471000}"
02319500, "{02315550,02317620,02319394}"
01644000, "{01643805,01643880,01643700}"
09114500, "{09112500,09110000,09113980}"
07178000, "{07177500,07177650,07177800}"
14187200, "{14187000,14185000,14185900}"
01388500, "{01388000,01387000,01382800}"
02096500, "{02094500,0209553650,02095500}"
08104500, "{08102500,08104100,08104300}"
06701900, "{06701620,06700000,06701700}"
07170500, "{07169800,07166500,07169500}"
06423500, "{06408650,06422500,06421500}"
05133500, "{05129515,05131500,05132000}"
03176500, "{03171000,03175500,03173000}"
03289500, "{03288100,03289300,03288180}"
06295000, "{06214500,06294500}"
09384000, "{09383400}"
04165500, "{04164000,04164800,04164500}"
09474000, "{09469500,09473000,09472050}"
07231500, "{07231000,07229200,07229300}"
08074500, "{08074020,08074150,08074250}"
08099500, "{08099100,08099300,08099382}"
02212735, "{02210500,02211800,02212600}"
01548005, "{01547950,01547700,01547500}"
02228000, "{02226500,02227500,02227270}"
06309000, "{06295000,06308500}"
09306290, "{09304800,09306255,09306222}"
05536000, "{05534500,05535000,05535500}"
02304500, "{02303330,02303800,02303350}"
06154100, "{06140500,06142400,06151500}"
03075070, "{03072655,03074500,03073000}"
09413200, "{09413000,09408150,09408195}"
06324500, "{06317000}"
10311000, "{10310500,10309010,10310000}"
09497500, "{09494000,09490500,09496500}"
04275500, "{04275000,04274000}"
02433500, "{02431000,02430880,02432500}"
14321000, "{14319500,14312000,14320934}"
05592000, "{05591200,05591700,05591550}"
10163000, "{10155500,10156000,10157500}"
08025360, "{08022500,08023080,08023400}"
02129000, "{02126000,02128000,0212378405}"
12340000, "{12335500,12335100,12338300}"
03146500, "{03146402,03145534,03145173}"
10333000, "{10327500,10329500,10329000}"
02102000, "{02100500,02101726,02101800}"
06915800, "{06915000,06913500,06914500}"
02041650, "{02040000,02040892,02041000}"
04189000, "{04188400,04188433,04188496}"
05536275, "{05536255,05536235,05536215}"
14171600, "{14166000,14171000,14170000}"
02203900, "{02203655,02203863,02203700}"
03054500, "{03051000,03053500,03052000}"
06426500, "{}"
04095090, "{04094000,04093000,04094400}"
04197137, "{04197100,04196800,04196500}"
07198000, "{07196500,07197000,07197360}"
03230700, "{03229610,03229796,03230500}"
06348300, "{06347000,06347500,06345780}"
12150800, "{12134500,12138160,12149000}"
01589300, "{01589197,01589238,01589290}"
05078500, "{05078000,05078230}"
10344400, "{10343000,10343500}"
14319500, "{14318000,14316500,14316700}"
04108660, "{04108600,04106000,04106400}"
14181500, "{14180300,14178000,14179000}"
01350101, "{01350080,01350000,01350035}"
07261250, "{07261000,07261090,07261200}"
07191500, "{07190500,07191000,07191288}"
05580000, "{05579725}"
06909000, "{06906500,06906800,06908000}"
07138070, "{07138020,07138063}"
05357245, "{05357225,05357215,05357230}"
12323750, "{12323700,12323720,12323600}"
03094000, "{03093000,03091500,03092460}"
06401500, "{06400000,06395000,06400875}"
01200500, "{01199000,01199050,01200000}"
01549760, "{01545800,01548005,01549700}"
08066250, "{08066200,08066175}"
13077000, "{13069500,13075910,13075983}"
01350180, "{01350120,01350101,01350140}"
06438500, "{06423500,06438000,06425500}"
12021800, "{12020525,12020000,12020800}"
13342500, "{13341050,13342450,13341570}"
01616500, "{01616400,01616100,01615000}"
09185600, "{09180500,09183600}"
06408650, "{06403700,06407500,06406500}"
01603000, "{01601500,01598500,01599000}"
14162500, "{14159500,14158850,14162200}"
14191000, "{14174000,14190500,14189000}"
07069000, "{07068000,07068510,07064000}"
09486500, "{09486055,09482500,09486350}"
04208000, "{04207200,04206448,04206425}"
09511300, "{09508500,09510000,09510200}"
021973269, "{02197000,02197020}"
02094500, "{02093800,02093877,0209399200}"
04227500, "{04226000,04224775,04223000}"
06109500, "{06090800,06102050,06108800}"
02146507, "{0214645075,02146409,02146470}"
06433000, "{06430500,06431500}"
03350800, "{03350700,03349000,03349510}"
03575950, "{03575890,0357586650,0357591500}"
06463720, "{06461500,06463500}"
02264100, "{02263869,02264003,02264051}"
06837000, "{06828500,06835500,06836500}"
09224700, "{09223000,09220000,09218500}"
06431500, "{06430850,06430770}"
08147000, "{08143600,08146000}"
01589000, "{01586000,01586210,01586610}"
03144500, "{03142000,03140500,03144000}"
