USGS_id,Link_id,lat,lon,area,OBJECTID
"02492110","15720689",30.5793,-89.809624,-999,"6"
"07032000","7474830",35.121033,-90.102478,932800,"6"
"02492111","933180299",30.571453,-89.815285,-999,"6"
"02492620","15714395",30.346643,-89.64212,-999,"6"
"07364078","17916483",33.037575,-92.109268,-999,"6"
"07367005","19432886",32.518986,-92.133804,15298,"6"
"07289000","19266232",32.274517,-90.955315,1144500,"6"
"07381482","19406818",31.064398,-91.640396,-999,"6"
"07381490","15169567",30.846786,-91.813461,87570,"6"
"07374000","19088319",30.462051,-91.196922,1125810,"6"
"02480002","18095029",30.72864,-88.268074,8.22,"6"
"02479980","18094345",30.772734,-88.327042,8.08,"6"
"02479945","18094191",30.851992,-88.330841,31.48,"6"
"02479155","18105412",31.022499,-89.014442,52.6,"6"
"02476500","166759312",32.369034,-88.676262,52.1,"6"
"02473460","18130568",31.960657,-89.113167,102,"6"
"02481000","18070104",30.55714,-89.116211,96.2,"6"
"02473500","18131446",31.680998,-89.115646,238,"6"
"02476600","18195359",32.252262,-88.759384,342,"6"
"02475500","18194859",32.31004,-88.889519,369,"6"
"02479130","18105054",31.052439,-89.192947,355,"6"
"02472500","18157053",31.425797,-89.410461,304,"6"
"02481510","18075806",30.478369,-89.271812,308,"6"
"02477000","18178477",32.171738,-88.815849,918,"6"
"02479560","18094981",30.807686,-88.463623,562,"6"
"02472000","18154237",31.702059,-89.405312,743,"6"
"02472850","18156447",31.483931,-89.431816,257,"6"
"02479300","18107248",30.734516,-88.773407,441,"6"
"02474500","18135774",31.334269,-89.112068,612,"6"
"02477500","18182257",31.680706,-88.683548,1650,"6"
"02473000","18135826",31.338621,-89.280052,1748,"6"
"02474560","18135958",31.220779,-89.05442,2542,"6"
"02478500","18172814",31.146402,-88.548752,2690,"6"
"02475000","18134412",31.10113,-88.807358,3495,"6"
"02479000","18121032",30.97888,-88.727798,6590,"6"
"02479310","18121240",30.609072,-88.639626,8204,"6"
"01413088","1748535",42.306511,-74.553276,13.5,"7"
"01414500","1748611",42.081245,-74.657524,25.2,"7"
"01421618","2612794",42.354595,-74.627121,14.3,"7"
"01466500","4492036",39.877579,-74.498192,2.35,"7"
"01644371","4505702",39.236778,-77.257935,0.43,"7"
"01644380","4505912",39.206001,-77.288925,0.79,"7"
"01644372","4507200",39.223408,-77.247894,0.37,"7"
"01644375","4507210",39.194866,-77.26313,1.35,"7"
"01646305","4508904",38.952049,-77.183121,2.05,"7"
"01480400","4648544",40.032948,-75.867386,4.55,"7"
"01483155","4653396",39.431934,-75.729721,1.73,"7"
"01569460","4711318",40.162479,-77.40506,3.41,"7"
"015765185","4724385",39.991043,-76.26519,1.05,"7"
"01576516","4726049",39.995831,-76.252312,0.36,"7"
"01493112","4765418",39.271908,-75.937988,6.12,"7"
"01484100","8077030",38.897797,-75.529037,3.02,"7"
"01589795","8375931",39.060421,-76.653915,1,"7"
"01643395","8450912",39.261753,-77.297852,1.17,"7"
"01403150","9513122",40.617191,-74.596039,1.99,"7"
"01585500","11687638",39.60511,-76.961662,3.29,"7"
"01583580","11688418",39.478458,-76.690712,1.47,"7"
"0158175320","11688422",39.489162,-76.334145,0.66,"7"
"01589197","11688596",39.458744,-76.802658,4.23,"7"
"01583800","11688792",39.421108,-76.607246,1.98,"7"
"0158397967","11688838",39.408016,-76.561371,2.06,"7"
"01585104","11688932",39.391327,-76.44487,2.5,"7"
"01585225","11689172",39.317131,-76.535088,0.15,"7"
"01589315","11689198",39.305092,-76.743393,2.43,"7"
"01585075","11689678",39.412998,-76.343094,1.83,"7"
"01585090","11689682",39.381577,-76.512238,2.73,"7"
"01589290","11689692",39.372025,-76.782654,3.23,"7"
"01589317","11689712",39.328747,-76.746567,0.51,"7"
"01589316","11689716",39.319004,-76.750404,0.74,"7"
"01589100","11689740",39.259941,-76.690933,2.47,"7"
"01594950","14365490",39.281082,-79.40876,2.3,"7"
"01647850","22337429",39.07235,-77.074646,2.74,"7"
"01475530","4495656",39.983166,-75.283714,4.78,"7"
"01467081","4495672",39.941879,-75.001778,8.98,"7"
"01483200","4653422",39.364983,-75.669846,4.06,"7"
"01621050","5908085",38.484085,-78.965546,14.3,"7"
"01620500","5909157",38.362392,-79.265472,17.3,"7"
"01392500","6250768",40.792301,-74.175758,11.6,"7"
"01548303","8143294",41.78566,-77.40255,6.48,"7"
"01486000","8401391",38.215374,-75.666481,4.8,"7"
"0148471320","8410499",38.411644,-75.225548,6.38,"7"
"01399100","9512948",40.649967,-74.68367,6.67,"7"
"01396582","9513784",40.720856,-74.920906,12.3,"7"
